iter	RMSE
0	1709.01726
1	1683.568476
2	1658.979914
3	1635.539154
4	1612.904461
5	1590.727331
6	1569.307266
7	1548.815783
8	1528.666956
9	1509.328178
10	1490.877708
11	1472.655006
12	1454.828159
13	1437.761934
14	1420.567112
15	1404.730863
16	1388.546966
17	1373.182521
18	1358.429814
19	1344.460249
20	1330.004771
21	1315.556626
22	1302.539885
23	1289.058378
24	1276.828724
25	1263.468261
26	1250.718283
27	1239.141696
28	1227.294634
29	1216.484713
30	1205.973778
31	1194.323894
32	1183.161049
33	1173.542432
34	1162.582345
35	1152.647815
36	1142.178869
37	1133.469161
38	1123.903618
39	1115.453381
40	1105.700486
41	1096.551714
42	1087.842796
43	1079.766233
44	1070.820612
45	1062.245884
46	1054.730325
47	1046.822228
48	1038.922473
49	1031.896559
50	1023.832156
51	1015.727737
52	1009.007268
53	1001.916781
54	994.309485
55	987.6391989
56	981.4605692
57	974.866813
58	967.5109111
59	961.6621174
60	954.7075647
61	948.1766338
62	942.5191197
63	936.6302549
64	930.2562843
65	924.7118819
66	919.5392251
67	913.098238
68	907.7332632
69	901.4493409
70	896.2740345
71	891.3578121
72	885.4903355
73	880.6079583
74	876.1661814
75	870.5331654
76	866.1985143
77	860.5202378
78	855.7133986
79	851.2312475
80	846.5421889
81	842.6846869
82	838.2525846
83	833.0794937
84	829.1091544
85	825.1031778
86	820.0424459
87	816.3442246
88	811.546645
89	807.9889034
90	804.0316326
91	800.4446066
92	797.0870998
93	792.6641932
94	789.1548241
95	784.627733
96	781.2823306
97	778.1334327
98	775.163626
99	771.3955445
