iter	Passed	Remaining
0	31	3148
1	57	2812
2	85	2757
3	110	2652
4	133	2539
5	159	2494
6	186	2481
7	209	2407
8	234	2371
9	258	2322
10	284	2302
11	315	2314
12	345	2310
13	374	2301
14	400	2267
15	426	2239
16	451	2206
17	478	2180
18	507	2164
19	532	2130
20	561	2112
21	590	2092
22	615	2059
23	638	2021
24	661	1984
25	685	1951
26	713	1928
27	740	1904
28	768	1880
29	794	1853
30	817	1818
31	840	1785
32	863	1753
33	883	1715
34	908	1686
35	931	1656
36	954	1625
37	1000	1631
38	1048	1640
39	1080	1620
40	1116	1607
41	1146	1583
42	1179	1563
43	1211	1541
44	1239	1515
45	1268	1488
46	1292	1457
47	1316	1426
48	1338	1392
49	1356	1356
50	1376	1322
51	1395	1287
52	1412	1253
53	1434	1222
54	1454	1190
55	1475	1159
56	1495	1128
57	1514	1096
58	1533	1065
59	1550	1033
60	1569	1003
61	1589	973
62	1607	944
63	1628	915
64	1645	885
65	1667	858
66	1685	830
67	1704	802
68	1725	775
69	1744	747
70	1763	720
71	1781	692
72	1799	665
73	1822	640
74	1842	614
75	1861	587
76	1883	562
77	1904	537
78	1924	511
79	1947	486
80	1968	461
81	1989	436
82	2008	411
83	2030	386
84	2050	361
85	2074	337
86	2092	312
87	2111	287
88	2130	263
89	2152	239
90	2173	214
91	2192	190
92	2212	166
93	2230	142
94	2252	118
95	2272	94
96	2287	70
97	2310	47
98	2329	23
99	2351	0
