iter	RMSE
0	1453.513767
1	1341.65737
2	1241.598379
3	1158.002289
4	1084.863985
5	1018.93181
6	962.3946242
7	914.1201865
8	869.5636287
9	833.0058753
10	800.4417728
11	772.5064396
12	745.847732
13	725.4706691
14	707.5810562
15	692.9290123
16	678.3271616
17	665.0742247
18	650.5859221
19	641.374098
20	629.9620081
21	618.6321558
22	609.5423426
23	602.438586
24	596.7845254
25	588.9713219
26	582.713147
27	575.9438555
28	570.7835661
29	566.0574149
30	562.4392853
31	556.4513795
32	551.5860691
33	548.1320997
34	546.0451678
35	542.1333028
36	540.3669387
37	537.5883187
38	532.0566709
39	530.076
40	528.3193143
41	525.2223305
42	523.7573454
43	520.8075296
44	519.2794688
45	517.4075117
46	515.7254369
47	513.0636309
48	505.6875379
49	501.9222069
50	498.0012743
51	495.8217122
52	490.2355864
53	488.1592355
54	486.835524
55	484.9672078
56	484.2557874
57	481.2233057
58	479.7048651
59	477.3189146
60	475.4975593
61	473.7367733
62	468.8972961
63	467.6243578
64	466.252218
65	464.6810484
66	461.8719608
67	460.6638497
68	459.2105193
69	458.0779766
70	455.3916158
71	453.1403713
72	452.5879674
73	452.2373948
74	449.0111954
75	446.9483371
76	444.4285503
77	441.4927317
78	440.3912569
79	438.0258426
80	434.5404475
81	433.3216337
82	432.1505022
83	431.4541906
84	430.0616929
85	428.9440177
86	425.4936644
87	424.6702939
88	424.2562177
89	422.293255
90	421.1215895
91	417.3650214
92	416.0286991
93	415.4567934
94	413.3154985
95	412.944058
96	411.8474961
97	408.8943399
98	408.5716878
99	407.5569062
100	405.2912109
101	403.5516286
102	402.2872437
103	401.2257225
104	400.3379317
105	399.8447998
106	399.2376902
107	398.9588294
108	398.2387028
109	396.2802209
110	395.2963959
111	394.6964406
112	393.2521869
113	392.2297316
114	391.2214189
115	389.5270084
116	389.036484
117	387.7761114
118	386.8538384
119	386.7141037
120	386.2174477
121	384.7384492
122	383.065327
123	382.381406
124	381.0934355
125	379.1734353
126	378.4301413
127	376.567388
128	376.0455901
129	375.9275943
130	375.2151195
131	373.7465772
132	372.6261246
133	372.4388428
134	370.3342242
135	369.8683559
136	368.5751543
137	368.4758313
138	367.5073629
139	366.7171501
140	365.8356363
141	364.5244615
142	363.4256784
143	362.742014
144	361.1498764
145	360.0010057
146	359.4500043
147	358.0571393
148	357.5922641
